Book Name,Author,Rating,Customers_Rated,Href
"
The Bravo: A Tale
",James Fenimore Cooper,3.7,65 rati,https://www.goodreads.com/book/show/7225364-the-bravo
"
Dr. Heidegger's Experiment
",Nathaniel Hawthorne,3.6,"1,052 r",https://www.goodreads.com/book/show/8112647-dr-heidegger-s-experiment
"
The Haunted Palace
",Edgar Allan Poe,3.5,278 rat,https://www.goodreads.com/book/show/9838168-the-haunted-palace
"
Jocelyn
",Alphonse de Lamartine,3.1,69 rati,https://www.goodreads.com/book/show/39697446-jocelyn
"
Zemsta
",Aleksander Fredro,3.1,"12,267 ",https://www.goodreads.com/book/show/1841669.Zemsta
"
The Young Man's Guide
",William A. Alcott,3.5,641 rat,https://www.goodreads.com/book/show/3311228-the-young-man-s-guide
"
Paradoxe sur le comédien
",Denis Diderot,3.5,401 rat,https://www.goodreads.com/book/show/1423538.Paradoxe_sur_le_com_dien
"
Ο Βασιλικός
",Αντώνιος Μάτεσις,3.4,11 rati,https://www.goodreads.com/book/show/35023315
"
Bridal Ballad
",Edgar Allan Poe,3.5,108 rat,https://www.goodreads.com/book/show/21310547-bridal-ballad
"
Metzengerstein
",Edgar Allan Poe,3.2,"1,986 r",https://www.goodreads.com/book/show/1467621.Metzengerstein
"
The Man that was Used Up - an Edgar Allan Poe Short Story
",Edgar Allan Poe,3.1,466 rat,https://www.goodreads.com/book/show/2183900.The_Man_that_was_Used_Up_an_Edgar_Allan_Poe_Short_Story
"
The Devil in the Belfry
",Edgar Allan Poe,3.1,813 rat,https://www.goodreads.com/book/show/4139247-the-devil-in-the-belfry
"
Louis Lambert
",Honoré de Balzac,3.4,381 rat,https://www.goodreads.com/book/show/25938.Louis_Lambert
"
Shadow: A Parable
",Edgar Allan Poe,3.2,844 rat,https://www.goodreads.com/book/show/3336858-shadow
"
Le Lys dans la vallée
",Honoré de Balzac,3.7,"6,270 r",https://www.goodreads.com/book/show/1988040.Le_Lys_dans_la_vall_e
"
King Pest
",Edgar Allan Poe,3.1,755 rat,https://www.goodreads.com/book/show/6328751-king-pest
"
Travel Pictures
",Peter Wortsman,3.7,53 rati,https://www.goodreads.com/book/show/2307882.Travel_Pictures
"
Mystification
",Edgar Allan Poe,2.6,249 rat,https://www.goodreads.com/book/show/3336838-mystification
"
Lionizing
",Edgar Allan Poe,2.6,350 rat,https://www.goodreads.com/book/show/6328753-lionizing
"
Sarrasine
",Honoré de Balzac,3.6,"2,366 r",https://www.goodreads.com/book/show/1154047.Sarrasine
"
Tales of Belkin (The Art of the Novella)
",Alexander Pushkin,4.1,"5,357 r",https://www.goodreads.com/book/show/6697972-tales-of-belkin
